Data Source,Platform,Name, Follow ,Link,CAT,Other Skill,Remark,,,,,
Raw Data(APR),Facebook,方健儀 Akina Fong,101970,https://www.facebook.com/akinafong.freelancer/?__tn__=kC-R&eid=ARAuaJHBMDAUHRQB4cNHts2rM-RTQYhfVQU8bClzgTXdT5CuAjROYf9aUdA-Bo9U4_go6jY0im4cYqKB&hc_ref=ARS3Wj9CMT7mkhDPLhpHztpe-KJesacjkm3NWmD3J85-V30Ini1UXV2EspWTv7WgwPY&__xts__[0]=68.ARB5r22RvKRwVBXMJdS4c5TsjPJ0P_WdDPcGBHCueGJilHMn_76z3lNGZIMKE96-4zuHHoWc51hR2G81XG805DTQFSaPWyYQAjXGw-TSrSUm_Aziz2CiiV9NEPlKdGMkkMGrgjc2DTnqzEQemWLubwUj5STjYz81rMaxIJVPy60vMHG9BAvfnuwWlBo_6Sd9M0hmlXPctQz0Q5w3QUfF_jsyP_sg5MlyuDd_IVQWjsrtohYYrt0lirwd_QgdDzoDU04XX7mk-yBIEZpOBbzpY6I1hBxoF1KWCYKJ2uVLivQenHP0yPG655vzo4OhkU1OLmLz-qLcAfR2BfcHi5Hws7CytAyNjlwu9Id9ipDOi8tkL4y_Edd4XF3NoKB0YgGLR4Ui0U7D6s5KU0LNqCU_EZ-_sDh6bpaYgjzuRbogmQ78NYY,celebrity,,,,,,akinafong.freelancer,
Raw Data(APR),Facebook,艾美仔 is drawing⋯,23621,https://www.facebook.com/amychaiisdrawing/?__tn__=kC-R&eid=ARDjB7zZ3uucKKepLD1sXIbppZtniirwdWScuncs2jEN2BjlvfRQBAlAJmVey-HDtfSIyP4xIxEQiXDQ&hc_ref=ARTk1Ce7d-Llalf4v2rROHjpXcHmHrNOjFAF6BfD-uSL6HX2E-TN1FnJUNqMAeRVW4Q&fref=nf&__xts__[0]=68.ARC_D4Jw2CaIkWQHTf9sSKJIhp1rQt958CXR5gaF0EcG2w7v3MoriVTLGvcuFInjYRKOY-j3S9Lm-Nb3ddgZMB0Oo4jnbL99rjDBl_RIf_x9Tt1kXGnA1bZMGHEqBxmVwoB_NwF21XSG4ei73JJK1aUdIyX8C4Icon71LD7aEpiC6fXA8X5bWS86qC4gP8uryOhIMTejDaR1YXNeeubZSzqfbQ1X7lHIt-iH8iTUBBrcmRV0fffOzyfCSbfKnv10qRB7tyzLATzJPVC2yhAWeuSzyVAbfECxUL6vLzvE7T-QCK-UTFvFtOKEtb_C97nHMoHRtsaa3d9Ga6WmocKDu4vkMKYrMcNKkTc7dg,Lifestyle,,,,,,amychaiisdrawing,
Raw Data(APR),Facebook,茄媽與小茄Oh Boy•Jun&FlymomSzeci。親子。玩樂。美妝。生活,23459,https://www.facebook.com/szeszecccccc/?__tn__=kC-R&eid=ARC6afMdxY4NsihbAmkv1Hs8RjlubbdB0rYEQQWNArK0yNwzAhqD2XqMljNGtFJlpcI30zSZLga125Yf&hc_ref=ARTuy12IDu54jqrXyprj5jq4AIeUhyowl0C1aur-ZrXThAVDmip4PUh69MDDVk5LnlE&fref=nf&__xts__[0]=68.ARB__xf1lc8OVEokUm23ABIEsJ_NWQ394Q8MlH6ujNwhgoPzJATdEPupyMu8pcekXFKqFr8iw5KiNo4Rwl1I6WZIBjy1E_vy0GoudFJKf9LPmrKAHT9wGM3DHoSJUAHBjn4z_u-a6C_uX1AR-xwkCaMpqSsHNWt3ptoQy5AfHbADpDiKBgJBh4S0HBBMSuxmUd28Z_ArgObLwwjGtVjWMurRGMnXb6KdwVp9zhIx3crdAfHvzgmvoCGKjPd59tdHvq2fz7LC9CZr7d5XHZnu8aja3WPiT8Xym2qs0FU0a5AsWwsfzfJf3fNXD0P8XIX_eui52aTyu05uVOWr1KmYvtnwPQ,Lifestyle,Beauty & fashion,,,,,szeszecccccc,
Raw Data(APR),Facebook,蔡卓妍,223735,https://www.facebook.com/%E8%94%A1%E5%8D%93%E5%A6%8D-362073300540097/,celebrity,,,,,,%E8%94%A1%E5%8D%93%E5%A6%8D-362073300540097,
Raw Data(APR),Facebook,蔡思貝 Sisley Choi,12637,https://www.facebook.com/sisleychoi07/,Lifestyle,,,,,,sisleychoi07,
Data from Vendor,YouTube,alicehahahaha,212751,https://www.youtube.com/user/alicehahahaha/videos,Travel,Beauty & fashion,,,UCd-qu6Ke0IfUTsaAQPUBFRA,,,
Data from Vendor,YouTube,BETHNI Y,99139,https://www.youtube.com/user/bethniy,Beauty & Fashion,,,,UCHrgHYFc5KShMJDZNsDZh4g,,,
Data from Vendor,YouTube,Coffee林芊妤,668100,https://www.youtube.com/channel/UCxCZqbizSsnntlz6w0fN8hA/videos,Lifestyle,,,,UCxCZqbizSsnntlz6w0fN8hA,,,
Other Ranking,YouTube,Emi Wong,1018840,https://www.youtube.com/emiwong,Travel,Lifestyle,,,UCvGEK5_U-kLgO6-AMDPeTUQ,,,
Data from Vendor,YouTube,GEMblog,1226574,https://www.youtube.com/channel/UCsLWG2t7n9LFsvH0wR2rtpw,Celebrity,,,,UCsLWG2t7n9LFsvH0wR2rtpw,,,
Data from Vendor,YouTube,Hana Tam,412236,https://www.youtube.com/user/hanafa/videos,Celebrity,,,,UCf1_EVN2qSOxiLZskBGsElA,,,
Data from Vendor,YouTube,Lazy Dazzy,101567,https://www.youtube.com/channel/UCFazLWyYQGoZQNZoy58yM_Q,Beauty & Fashion,,,,UCFazLWyYQGoZQNZoy58yM_Q,,,
Data from Vendor,YouTube, Mechan 86 ,27998,https://www.youtube.com/channel/UC5w7tLtCfcWx6Z7D5ZHtE9w,Beauty & fashion,,,,UC5w7tLtCfcWx6Z7D5ZHtE9w,,,
Data from Vendor,YouTube,pumpkinjennlam,202280,https://www.youtube.com/user/pumpkinjennlam,Beauty & Fashion,,,,UCnmxrvocX00L0t8AszdDyMw,,,
Data from Vendor,YouTube,suechangg,191300,https://www.youtube.com/user/suechangg,Lifestyle,,,,UCiSUSUuutg_w-nSILsvMKnw,,,
Data from Vendor,YouTube,TaylorR1488,1009277,https://www.youtube.com/user/TaylorR1488/featured,Lifestyle,,,,UCuySkUHjdgugMw61waqFsRg,,,
Data from Vendor,YouTube,withlovekayan,99638,https://www.youtube.com/user/withlovekayan,Travel,,,,UCrmJ2lG1QU7fD9-wTEvlK5w,,,
Raw Data(APR),Instagram,4evajessie,297162,https://www.instagram.com/4evajessie/,Travel,,,,,,,
Raw Data(APR),Instagram,accmakeup__,142312,https://www.instagram.com/hiddie/,Beauty & fashion,,,,,,,
Raw Data(APR),Instagram,aikonari.art,211079,https://www.instagram.com/aikonari.art/,Lifestyle,Beauty & fashion,Also mentioned by vendor and other ranking list,,,,,
Other Ranking,Instagram,ally_manyan,802000,https://www.instagram.com/ally_manyan/,Celebrity,,,,,,,
Raw Data(APR),Instagram,anitayuenwy,524340,https://www.instagram.com/anitayuenwy/,Celebrity,,,,,,,
Data from Vendor,Instagram,avaw,311799,https://www.instagram.com/avaw/,LIfestyle,Beauty & Fashion,,,,,,
Other Ranking,Instagram,Baka Shiro小白,84112,https://www.youtube.com/hentaishiro,Lifestyle,,,,,,,
Other Ranking,Instagram,baka_shiro,482000,https://www.instagram.com/baka_shiro/,Lifestyle,,,,,,,
Raw Data(APR),Instagram,belinda.725,197074,https://www.instagram.com/belinda.725/,Beauty & fashion,,,,,,,
Other Ranking,Instagram,bithialam,45000,https://www.instagram.com/bithialam/,LIfestyle,Beauty & Fashion,,,,,,
Data from Vendor,Instagram,char1es,120838,https://www.instagram.com/char1es/,Beauty & fashion,,,,,,,
Raw Data(APR),Instagram,charmaine_sheh,948684,https://www.instagram.com/charmaine_sheh/,Celebrity,,,,,,,
Data from Vendor,Instagram,choisaaaa,1160275,https://www.instagram.com/choisaaaa/,Celebrity,,,,,,,
Other Ranking,Instagram,cittaf,149000,https://www.instagram.com/cittaf/,Beauty & fashion,,,,,,,
Other Ranking,Instagram,cjd_riri,346000,https://www.instagram.com/cjd_riri/,Beauty & fashion,,,,,,,
Raw Data(APR),Instagram,coffee89921,566718,https://www.instagram.com/coffee89921/,Celebrity,,Also mentioned by vendor,,,,,
Data from Vendor,Instagram,crystalfyy,294375,https://www.instagram.com/crystalfyy/,Beauty & fashion,,,,,,,
Raw Data(APR),Instagram,ding_2,283952,https://www.instagram.com/ding_2/,Travel,,,,,,,
Raw Data(APR),Instagram,elannek930,193636,https://www.instagram.com/elannek930/,Lifestyle,,,,,,,
Other Ranking,Instagram,emiwong_,225000,https://www.instagram.com/emiwong_/,Travel,Lifestyle,,,,,,
Other Ranking,Instagram,euniceannabel,200000,https://www.instagram.com/euniceannabel/,Beauty & fashion,,,,,,,
Raw Data(APR),Instagram,evelynchoii,87510,https://www.instagram.com/angelchu/,Travel,Beauty & Fashion,,,,,,
Other Ranking,Instagram,gdiipa,86000,https://www.instagram.com/gdiipa/,Beauty & fashion,,,,,,,
Data from Vendor,Instagram,gem0816,4896550,https://www.instagram.com/gem0816/,Celebrity,,,,,,,
Raw Data(APR),Instagram,girlstyle.presslogic,168143,https://www.instagram.com/girlstyle.presslogic/,Beauty & fashion,lifestyle,,,,,,
Raw Data(APR),Instagram,gwgurlie86,565423,https://www.instagram.com/gwgurlie86/,Celebrity,,,,,,,
Data from Vendor,Instagram,hanatam,473123,https://www.instagram.com/hanatam/,Celebrity,,,,,,,
Other Ranking,Instagram,harimaolee,234000,https://www.instagram.com/harimaolee/,Travel,Photographer,,,,,,
Raw Data(APR),Instagram,heidibibe,400940,https://www.instagram.com/misselvani/,Celebrity,,,,,,,
Data from Vendor,Instagram,hoccgoomusic,278211,https://www.instagram.com/hoccgoomusic/,Celebrity,,,,,,,
Raw Data(APR),Instagram,itstiffanylau,206467,https://www.instagram.com/mingyiplm/,Beauty & fashion,,,,,,,
Data from Vendor,Instagram,jadelam,136613,https://www.instagram.com/jadelamm/,Beauty & fashion,,,,,,,
Raw Data(APR),Instagram,jumbotsang,321071,https://www.instagram.com/jumbotsang/,Celebrity,,Also mentioned by vendor and other ranking list,,,,,
Raw Data(APR),Instagram,kawaiiifong,160379,https://www.instagram.com/kawaiiifong/,Beauty & fashion,Travel/lifestyle,,,,,,
Raw Data(APR),Instagram,kaytse,525392,https://www.instagram.com/kaytse/,Celebrity,,,,,,,
Raw Data(APR),Instagram,kelllycheung,412247,https://www.instagram.com/jenniferyuuu/,Celebrity,,,,,,,
Raw Data(APR),Instagram,khengchan_,127035,https://www.instagram.com/khengchan_/,Travel,Beauty & Fashion,Also mentioned by vendor and other ranking list,,,,,
Raw Data(APR),Instagram,laurinda_ho,530845,https://www.instagram.com/laurinda_ho/,Celebrity,,,,,,,
Raw Data(APR),Instagram,liliankan,167238,https://www.instagram.com/liliankan/,Beauty & fashion,,,,,,,
Data from Vendor,Instagram,madiross,348232,https://www.instagram.com/madiross/,LIfestyle,,,,,,,
Raw Data(APR),Instagram,marialuisaleitao,175903,https://www.instagram.com/marialuisaleitao/,Lifestyle,,,,,,,
Raw Data(APR),Instagram,melly.woo,141707,https://www.instagram.com/melly.woo/,Travel,Beauty & Fashion,,,,,,
Raw Data(APR),Instagram,michellewsn,237505,https://www.instagram.com/renee0727/,Lifestyle,,,,,,,
Raw Data(APR),Instagram,mingjai14,183617,https://www.instagram.com/mingjai14/,Travel,,,,,,,
Raw Data(APR),Instagram,mirasgarden,199890,https://www.instagram.com/mirasgarden/,Lifestyle,,,,,,,
Raw Data(APR),Instagram,misselvani,694587,https://www.instagram.com/misselvani/,Celebrity,,,,,,,
Raw Data(APR),Instagram,misshunnyig,173224,https://www.instagram.com/misshunnyig/,Lifestyle,,Also mentioned by vendor,,,,,
Raw Data(APR),Instagram,missjni,602223,https://www.instagram.com/missjni/,Celebrity,,,,,,,
Data from Vendor,Instagram,myoliemyolie,900956,https://www.instagram.com/myoliemyolie/?hl=zh-tw,Celebrity,,,,,,,
Raw Data(APR),Instagram,no7,206273,https://www.instagram.com/itsjustasha/,Beauty & fashion,,,,,,,
Raw Data(APR),Instagram,pamelacheung,207774,https://www.instagram.com/pamelacheung/,Beauty & fashion,,,,,,,
Raw Data(APR),Instagram,physit,1474412,https://www.instagram.com/physit/,Celebrity,,,,,,,
Raw Data(APR),Instagram,ponypong,346924,https://www.instagram.com/ponypong/,Beauty & fashion,,Also mentioned by vendor,,,,,
Raw Data(APR),Instagram,pumpkinjenn,213168,https://www.instagram.com/carminola/,Beauty & fashion,travel/lifestyle,Also mentioned by vendor,,,,,
Data from Vendor,Instagram,q_gil,834932,https://www.instagram.com/q_gill/,Celebrity,,,,,,,
Raw Data(APR),Instagram,richardjuan,407567,https://www.instagram.com/richardjuan/,Celebrity,,,,,,,
Raw Data(APR),Instagram,roxannetong,442792,https://www.instagram.com/roxannetong/,Celebrity,,Also mentioned by vendor,,,,,
Raw Data(APR),Instagram,sa_c,73236,https://www.instagram.com/sa_c/,Travel,Beauty & Fashion,,,,,,
Other Ranking,Instagram,selenaleelalee,602000,https://www.instagram.com/selenaleelalee/,Celebrity,Travel/lifestyle,,,,,,
Other Ranking,Instagram,slime3d,154000,https://www.instagram.com/slime3d/,LIfestyle,,,,,,,
Other Ranking,Instagram,sophiachang,531000,https://www.instagram.com/sophiachang/,Beauty & fashion,,,,,,,
Raw Data(APR),Instagram,stephanie_ssw,71297,https://www.instagram.com/stephanie_ssw/,Travel,Beauty & Fashion,Also mentioned by vendor,,,,,
Raw Data(APR),Instagram,suechangg,322263,https://www.instagram.com/maggiehomaggie/,Lifestyle,,,,,,,
Raw Data(APR),Instagram,sukixx,88751,https://www.instagram.com/ezzentrictwee/,Travel,,,,,,,
Raw Data(APR),Instagram,taylor_hill,12589589,https://www.instagram.com/taylor_hill/,Celebrity,,,,,,,
Raw Data(APR),Instagram,therivergirl,494487,https://www.instagram.com/therivergirl/,Celebrity,,,,,,,
Raw Data(APR),Instagram,tinawzq,140534,https://www.instagram.com/ohsonicole/,Travel,Beauty & Fashion,Also mentioned by vendor,,,,,
Data from Vendor,Instagram,tracytschu,525210,https://www.instagram.com/tracytschu/,Celebrity,,,,,,,
Raw Data(APR),Instagram,wongtsuiyu,1062583,https://www.instagram.com/kelena.kitning/,Celebrity,,Also mentioned by vendor,,,,,
Raw Data(APR),Instagram,yakiwong,285701,https://www.instagram.com/yakiwong/,Lifestyle,Beauty & fashion,,,,,,
Data from Vendor,Instagram,zelia,304333,https://www.instagram.com/zelia/,Beauty & fashion,,,,,,,
Raw Data(APR),Instagram,zozotam1o1o,217277,https://www.instagram.com/zozotam1o1o/,Lifestyle,,,,,,,
Other Ranking,Instagram,屎萊姆的3次元,424072,https://www.youtube.com/channel/UCOrt5Nxym3e_oGIssBe_-KQ,Lifestyle,,,,,,,
