Name,Platform,Follow,Link,CAT,Status
Nguyễn Thanh Vân (Vân Hugo),Facebook,131000,https://www.facebook.com/cloudy.nguyen.35?fref=ts,Celeb/VIP,Agree
Quỳnh Hương,Facebook,27.665,https://www.facebook.com/huongquynhtun,Celeb/VIP,Agree
Uyên Bùi,Facebook,17.446,https://www.facebook.com/yigiaochu,Celeb/VIP,Agree
Hồng Đăng,Facebook,367.328,https://www.facebook.com/LeHongDang?fref=ts,Celeb/VIP,Agree
Mạnh Trường,Facebook,278.445,https://www.facebook.com/tonynguyen.truongnguyen?fref=ts,Celeb/VIP,Agree
Soobin Hoàng Sơn,Facebook,665.884,https://www.facebook.com/hoangson.soobin92,Celeb/VIP,Agree
Ninh Dương Lan Ngọc,Facebook,496.411,https://www.facebook.com/fromninhduonglanngoc/,Celeb/VIP,Agree
Quỳnh Anh Shyn,Facebook,691.781,https://www.facebook.com/qashyn212/,Celeb/VIP,Agree
Ngọc Thảo,Facebook,"2,931,178",https://www.facebook.com/ngocthaovn/?fref=ts,Celeb/VIP,Agree
Ngoc Han Dang,Facebook,144.094,https://www.facebook.com/ngochandang1103,Celeb/VIP,Agree
Đỗ Duy Nam,Facebook,199.299,https://www.facebook.com/namdd2?fref=ts,Celeb/VIP,Agree
Trần Quang Minh,Facebook,312633,https://www.facebook.com/vtv.periodista,Specialist/Professional Influencer,Agree
Công Tố,Facebook,145.427,https://www.facebook.com/pham.congto?fref=ts,Celeb/VIP,Agree
Nguyễn Tú Linh,Facebook,247.859,https://www.facebook.com/tulinhng?fref=ts,Micro Influencer,Agree
Phan Thu Hoàng,Facebook,21746,https://www.facebook.com/thu.thanthien.77?fref=ts,Micro Influencer,Agree
Lã Thanh Huyền,Facebook,178900,https://www.facebook.com/thanhhuyen.la.7?fref=ts,Celeb/VIP,Agree
Trương Phương,Facebook,108657,https://www.facebook.com/lanphuong.truong.5?ref=ts&fref=ts&qsefr=1,Celeb/VIP,Agree
Á hậu Huyền My,Facebook,1033166,https://www.facebook.com/AHauHuyenMy.Official/,Celeb/VIP,Agree
Phạm Chí Trung,Facebook,265544,https://www.facebook.com/trung.phamchi.98?fref=ts,Celeb/VIP,Agree
Phan Anh,Facebook,270000,https://www.facebook.com/phananhmc?fref=ts,Specialist/Professional Influencer,Agree
Trang Hạ,Facebook,451884,https://www.facebook.com/blogTrangHa/,Specialist/Professional Influencer,Agree
Phạm Thu Trang,Facebook,339876,https://www.facebook.com/trag.oi.la.trag?fref=nf&pnref=story,Micro Influencer,Agree
Tâm Tít,Facebook,304786,https://www.facebook.com/thanhtam.pham.18?fref=ts,Celeb/VIP,Agree
Vân Dung,Facebook,414762,https://www.facebook.com/DANHHAI.VANDUNG/?fref=ts,Celeb/VIP,Agree
Ngọc Trang,Facebook,122750,https://www.facebook.com/mcngoctrang?fref=nf,Celeb/VIP,Agree
Hoàng Bách,Facebook,174802,https://www.facebook.com/Hoangbachgia?fref=ts,Celeb/VIP,Agree
Vân Trang,Facebook,170028,https://www.facebook.com/people/V%C3%A2n-Trang/100004071227806,Celeb/VIP,Agree
Thuỷ Anh,Facebook,168068,https://www.facebook.com/thuyanh.le.96?fref=ts,Micro Influencer,Agree
Xuân Bắc,Facebook,1100000,https://www.facebook.com/nghesi.nguyenxuanbac/,Celeb/VIP,Agree
Bảo Thy,Facebook,5512687,https://www.facebook.com/baothyfanpage/,Celeb/VIP,Agree
Lê Phương,Facebook,339000,https://www.facebook.com/lephuongdienvien?fref=ts,Celeb/VIP,Agree
Lê Tú Vi,Facebook,421000,https://www.facebook.com/tuvi.le,Celeb/VIP,Agree
Ngô Như Quỳnh,Facebook,37000,https://www.facebook.com/quynh.scarlett?fref=ts,Celeb/VIP,Agree
Phan Ý Yên,Facebook,100000,https://www.facebook.com/phanyyen/?fref=ts https://www.facebook.com/MielCitron?fref=ts&ref=br_tf&qsefr=1,Specialist/Professional Influencer,Agree
Phi Huyền Trang,Facebook,512000,https://www.facebook.com/phi.huyentrang,Celeb/VIP,Agree
Ái Châu,Facebook,225000,https://www.facebook.com/nguyen.a.chau?fref=ts,Celeb/VIP,Agree
Diệp Chi,Facebook,261431,https://www.facebook.com/diepchivtv3?fref=ts,Celeb/VIP,Agree
Trịnh Kim Chi,Facebook,410766,https://www.facebook.com/kimchi.trinh.7?fref=ts,Celeb/VIP,Agree
Đan Lê,Facebook,264495,https://www.facebook.com/danle.nguyen.5?fref=ts,Celeb/VIP,Agree
Bùi Thúy Hạnh,Facebook,293000,https://www.facebook.com/buithuyhanh42?pnref=story,Celeb/VIP,Agree
Gào,Facebook,2753000,https://www.facebook.com/vuphuongthanh/?fref=ts,Specialist/Professional Influencer,Agree
Anh Thơ - vợ Bình Minh,Facebook,108341,https://www.facebook.com/leanhtho,Specialist/Professional Influencer,Agree
Lâm Thúy Nhàn,Facebook,69000,https://www.facebook.com/london.dreamer,Specialist/Professional Influencer,Agree
Hoàng Yến,Facebook,901128,https://www.facebook.com/hoangyenfan/,Celeb/VIP,Agree
Lục Anh,Facebook,761891,https://www.facebook.com/po.burberry,Celeb/VIP,Agree
Trí Minh Hoàng,Facebook,60.768,https://www.facebook.com/tritroc,Micro Influencer,Agree
Trần Nguyễn Thị Thúy Kiều,Facebook,240.693,https://www.facebook.com/Koy.Kieu94?fref=ts,Micro Influencer,Agree
Nguyen Phong Viet,Facebook,17.989,https://www.facebook.com/vietphong?fref=ts,Micro Influencer,Agree
Nghi Tuệ,Facebook,301.59,https://www.facebook.com/tue.nghi?fref=ts,Micro Influencer,Agree
Quách Lê Anh Khang,Facebook,88.755,https://www.facebook.com/kennykhang?fref=ts,Micro Influencer,Agree
Bảo Thanh,Facebook,437.009,https://www.facebook.com/baothanh.bud?fref=ts,Micro Influencer,Agree
Phan Anh,Facebook,147.468,https://www.facebook.com/esheep.esheep?fref=ts,Specialist/Professional Influencer,Agree
Nguyễn Nam Cường,Facebook,257428,https://www.facebook.com/nakun.namcuong?fref=ts,Celeb/VIP,Agree
Hứa Vĩ Văn,Facebook,454901,https://www.facebook.com/huavivan/?fref=ts,Celeb/VIP,Agree
Trịnh Thăng Bình,Facebook,517807,https://www.facebook.com/trinhthangbinh.fanpage/?fref=ts,Celeb/VIP,Agree
Hiêu Nguyễn,Facebook,112555,https://www.facebook.com/manly.hieu.7,Micro Influencer,Agree
Lưu Hương giang,Facebook,234162,https://www.facebook.com/luuhuonggiangsinger,Celeb/VIP,Agree
Phạm Bảo Anh,Facebook,116843,https://www.facebook.com/donjuan.emmanuel,Celeb/VIP,Agree
Bảo Đức Bùi,Facebook,66.191,https://www.facebook.com/MCDucBao?fref=ts,Micro Influencer,Agree
Danh Tùng,Facebook,51434,https://www.facebook.com/mc.danhtung?fref=ts,Micro Influencer,Agree
Mailovesbeauty,Facebook,13364,https://www.facebook.com/hanhmai.nguyen,Micro Influencer,Agree
Hoang Minh Nhat,Facebook,35678,https://www.facebook.com/minhnhat.masterchef,Specialist/Professional Influencer,Agree
Thanh Cường Nguyễn,Facebook,156251,https://www.facebook.com/nguyenthanhcuongmc,Micro Influencer,Agree
Jack Lee,Facebook,7223,https://www.facebook.com/ChefJackLee?fref=pb&hc_location=friends_tab,Specialist/Professional Influencer,Agree
Vo Quoc,Facebook,27363,https://www.facebook.com/voquocmnvn?ref=ts&fref=ts,Specialist/Professional Influencer,Agree
Đoàn Thu Thuỷ,Facebook,48277,https://www.facebook.com/profile.php?id=100005142423417&fref=ts,Specialist/Professional Influencer,Agree
Sam My,Facebook,5000,https://www.facebook.com/sam.my.77377692?fref=pb&hc_location=friends_tab,Specialist/Professional Influencer,Agree
Steven Long,Facebook,21.052,https://www.facebook.com/stegonese?fref=pb&hc_location=friends_tab,Specialist/Professional Influencer,Agree
Á hậu Tú Anh,Facebook,178.835,https://www.facebook.com/duong.anhanh.50,Specialist/Professional Influencer,Agree
TRương Phương,Facebook,106.693,https://www.facebook.com/lanphuong.truong.5,Micro Influencer,Agree
Đinh Hải Yến,Facebook,315.276,https://www.facebook.com/haiyen.dinh.56,Micro Influencer,Agree
Duong Cam Lynh,Facebook,158.137,https://m.facebook.com/cam.lynh,Micro Influencer,Agree
Lê Bê La,Facebook,309.208,https://m.facebook.com/lebela.net,Micro Influencer,Agree
Lê Tú Vi,Facebook,418.454,https://www.facebook.com/tuvi.le,Celeb/VIP,Agree
Ngô Như Quỳnh,Facebook,320910,https://www.facebook.com/quynh.scarlett?fref=ts,Micro Influencer,Agree
Phan Ý Yên ,Facebook,108.017,https://www.facebook.com/MielCitron,Specialist/Professional Influencer,Agree
Nguyễn Ái Châu,Facebook,249.034,https://www.facebook.com/nguyen.a.chau?fref=ts,Micro Influencer,Agree
Lâm Thúy Nhàn,Facebook,60.075,https://www.facebook.com/london.dreamer,Specialist/Professional Influencer,Agree
Nguyễn Ngọc Thúy Diễm,Facebook,760.707,https://www.facebook.com/thuydiem,Celeb/VIP,Agree
Lương Thế Thành,Facebook,538.897,https://www.facebook.com/TD.info.LTT,Celeb/VIP,Agree
Nghi Tuệ,Facebook,313.034,https://www.facebook.com/tue.nghi,Specialist/Professional Influencer,Agree
Liên Thảo,Facebook,21.415,https://www.facebook.com/lienthaosgu,Specialist/Professional Influencer,Agree
MC Linh Đan,Facebook,15951,https://www.facebook.com/linhdan0801,Micro Influencer,Agree
Nguyễn Quang Tâm,Facebook,42673,https://www.facebook.com/vicyuan888,Specialist/Professional Influencer,Agree
Bá Tăng Minh Hiếu,Facebook,3.297,https://www.facebook.com/batang.minhhieu,Micro Influencer,Agree
HannahOlala,Facebook,244.452,https://www.facebook.com/hannaholala1/,Specialist/Professional Influencer,Agree
Bùi Nhật Anh,Facebook,218.843,https://www.facebook.com/Nhat.Anh.The.Entertainer,Micro Influencer,Agree
Việt Hương,Facebook,"1,121,893",https://www.facebook.com/nghesiviethuong/,Celeb/VIP,Agree
Elly Tran,Facebook,"1,006,550",https://www.facebook.com/ellytran.babies/,Celeb/VIP,Agree
Nguyễn Ngọc Thạch,Facebook,631.699,https://www.facebook.com/thach.author,Specialist/Professional Influencer,Agree
Nguyễn Trọng Hưng,Facebook,135.758,https://www.facebook.com/tronghung.production,Specialist/Professional Influencer,Agree
Thu Trang,Facebook,"1,532,192",https://www.facebook.com/Dienvienhaithutrang/,Celeb/VIP,Agree
Le Anh Tho,Facebook,91.698,https://www.facebook.com/leanhtho,Specialist/Professional Influencer,Agree
Hana Giang Anh,Facebook,105.604,https://www.facebook.com/hanagianganh/,Specialist/Professional Influencer,Agree
Phạm Gia Bảo,Facebook,147.965,https://www.facebook.com/giabao.pham.75873708,Micro Influencer,Agree
Quỳnh Nguyễn (Quỳnh Kool),Facebook,365.043,https://www.facebook.com/QuynhKool267,Celeb/VIP,Agree
Vũ Ngọc Hoàng Oanh,Facebook,507.939,https://www.facebook.com/mchoangoanh/,Celeb/VIP,Agree
Nguyễn Thu Thuỷ,Facebook,223.698,https://www.facebook.com/candythuthuy,Celeb/VIP,Agree
Đức Phúc,Facebook,500.613,https://www.facebook.com/ducphuc.info/,Celeb/VIP,Agree
Nguyễn Ngọc Thanh Thảo (Thanh Thao Hugo),Facebook,118.445,https://www.facebook.com/thanhthaomc,Celeb/VIP,Agree
Trà My Ngọc Nguyễn,Facebook,167.455,https://www.facebook.com/halangirl.tramy,Micro Influencer,Agree
Loan Hoàng,Facebook,262.819,https://www.facebook.com/loanhoang2212,Micro Influencer,Agree
Huyen Ny,Facebook,178.147,https://www.facebook.com/HuyenNyPage?ref=br_rs,Micro Influencer,Agree
Trần Vũ Quang,Facebook,39.139,https://www.facebook.com/tonio.vu,Micro Influencer,Agree
Nguyễn Nam Thương,Facebook,230.039,https://www.facebook.com/gnouhtman,Micro Influencer,Agree
Kiên Hoàng,Facebook,215.187,https://www.facebook.com/kien.hoang.372,Micro Influencer,Agree
Trần Ba Duy,Facebook,284.595,https://www.facebook.com/tranbaduy,Micro Influencer,Agree
Ưng Đại Vệ,Facebook,705.502,https://www.facebook.com/ungdaiveofficial,Celeb/VIP,Agree
Hường Nguyễn,Facebook,309.945,https://www.facebook.com/NhocTjnj,Micro Influencer,Agree
Nguyen Bich Hang,Facebook,371.734,https://www.facebook.com/hangtui,Micro Influencer,Agree
Trịnh Thảo,Facebook,153.267,https://www.facebook.com/NMQcamacc8/posts/2123004367941341:0,Micro Influencer,Agree
Khả Như Trần,Facebook,384.634,https://www.facebook.com/khanhu.tran,Celeb/VIP,Agree
Quyền Linh,Facebook,366.285,https://www.facebook.com/NSquyen.linh,Celeb/VIP,Agree
Thi Au,Facebook,33220,https://www.facebook.com/thi.au,Micro Influencer,Agree
My Diem Duong,Facebook,102.588,https://www.facebook.com/yumiduong1612,Micro Influencer,Agree
MC Thuỳ Linh,Facebook,40.951,https://www.facebook.com/nguyen.t.linh.7564,Micro Influencer,Agree
Trà My Idol,Facebook,163.843,https://www.facebook.com/NguyenTraMy.Official/,Celeb/VIP,Agree
Vân Dung,Facebook,523000,https://www.facebook.com/NgheSyVanDung/,Celeb/VIP,Agree
Nguyễn Xuân Bắc,Facebook,792.145,https://www.facebook.com/xuanbac.nghesi,Celeb/VIP,Agree
Thanh Hương,Facebook,139000,https://www.facebook.com/thanhhuong.actress,Celeb/VIP,Agree
Phan Hồ Điệp (Đỗ Nhật Nam's mother),Facebook,166640,https://www.facebook.com/me.n.nam.9,Micro Influencer,Agree
Hoang Anh Duy,Facebook,23269,https://www.facebook.com/hoang.a.duy.3,Micro Influencer,Agree
Minh Do,Facebook,196834,https://www.facebook.com/minh.do.9480,Micro Influencer,Agree
Đàm Vĩnh Hưng,Facebook,910945,https://www.facebook.com/dvhsinger,Celeb/VIP,Agree
Nguyen Cao Ky Duyen,Facebook,452676,https://www.facebook.com/duynsiunhin,Celeb/VIP,Agree
Truong Tri Truc Diem,Facebook,116679,https://www.facebook.com/jessica.truongtu,Celeb/VIP,Agree
Phương Anh Lê,Facebook,197724,https://www.facebook.com/phanhlee.90,Celeb/VIP,Agree
Kelbin Lei,Facebook,239968,https://www.facebook.com/kelbinlei,Celeb/VIP,Agree
Huyen Trang,Facebook,129890,https://www.facebook.com/trang.huyen.96199,Micro Influencer,Agree
Lan Hương Bông,Facebook,74520,https://www.facebook.com/lanhuong.bong.5,Micro Influencer,Agree
Nguyen Hoai Anh,Facebook,60262,https://www.facebook.com/hoaianh.nguyen.313,Micro Influencer,Agree
Phan Lê Ái Phương,Facebook,238597,https://www.facebook.com/phanleaiphuong,Celeb/VIP,Agree
Lê Ngọc Trinh,Facebook,95772,https://www.facebook.com/profile.php?id=100005476843339,Micro Influencer,Agree
Hong Kim Hanh,Facebook,56404,https://www.facebook.com/hongkimhanh,Micro Influencer,Agree
Nguyễn Hồng Ngọc,Facebook,10084,https://www.facebook.com/ngocbong174,Micro Influencer,Agree
Lê Hoài Anh,Facebook,249313,https://www.facebook.com/christiana.le.35,Specialist/Professional Influencer,Agree
Pham Thanh Tam,Facebook,342.478,https://www.facebook.com/thanhtam.pham.18,Celeb/VIP,Agree
Nguyễn Hương Giang,Facebook,94.026,https://www.facebook.com/Giang.mat.to.9,Micro Influencer,Agree
Hà Việt Dũng,Facebook,54.261,https://www.facebook.com/vietdung.ha.10,Micro Influencer,Agree
Lê Phương,Facebook,477.987,https://www.facebook.com/lephuongdienvien,Celeb/VIP,Agree
Le Hieu,Facebook,93990,https://www.facebook.com/lehieu170884,Celeb/VIP,Agree
Tú Hảo,Facebook,335.377,https://www.facebook.com/zank.nic,Celeb/VIP,Agree
B Trần,Facebook,814.397,https://www.facebook.com/fanpagebetran/,Celeb/VIP,Agree
Nguyen Hoang Linh,Facebook,87.315,https://www.facebook.com/LinhMushroom,Micro Influencer,Agree
My Diem Duong,Facebook,102.645,https://www.facebook.com/yumiduong1612,Micro Influencer,Agree
Đồng Ánh Quỳnh,Facebook,235000,https://www.facebook.com/donganhquynhh,Celeb/VIP,Agree
Bình Minh,Facebook,162.543,https://www.facebook.com/DVBinhMinh/,Celeb/VIP,Agree
Hà Trúc,Facebook,237000,https://www.facebook.com/lhatruc/,Celeb/VIP,Agree
Nhung Gumiho,Facebook,219740,https://www.facebook.com/nhung.gumiho92,Celeb/VIP,Agree
Nguyễn Huyền Trang,Facebook,251735,https://www.facebook.com/trangmutatvtv6/posts/1846769402009690,Celeb/VIP,Agree
Huy Cung,Facebook,2539068,https://www.facebook.com/CungDucHuy/,Celeb/VIP,Agree
Băng Di,Facebook,281980,https://www.facebook.com/bangdisg/,Celeb/VIP,Agree
Jennifer Phạm,Facebook,606520,https://m.facebook.com/jennifer.phamfcvn/,Celeb/VIP,Agree
Thuỷ Tiên (Công Vinh),Facebook,5686749,https://www.facebook.com/FcThuyTien/,Celeb/VIP,Agree
Diễm My 9x,Facebook,3265889,https://www.facebook.com/Diemmy9x/,Celeb/VIP,Agree
Đào Bá Lộc,Facebook,124372,https://www.facebook.com/bi.chan2,Celeb/VIP,Agree
Truong Anh Ngọc,Facebook,102733,https://www.facebook.com/truonganhngoc/,Celeb/VIP,Agree
Doan Thanh Thao,Facebook,40387,https://www.facebook.com/doan.t.thao,Micro Influencer,Agree
Hương Thanh,Facebook,259106,https://www.facebook.com/huongvoi88,Celeb/VIP,Agree
Phương Oanh,Facebook,244485,https://www.facebook.com/phuong.oanh.18,Celeb/VIP,Agree
Trần Hoài Trang,Facebook,20363,https://www.facebook.com/trang.nhenhang/,Specialist/Professional Influencer,Agree
Trang Chery,Facebook,370000,https://www.facebook.com/trang.cherry07/,Celeb/VIP,Agree
Đào Hải Triều,Facebook,201036,https://www.facebook.com/haitieutrangtuoi/,Celeb/VIP,Agree
Lại Thị Kha Thy,Facebook,257000,https://www.facebook.com/laithikhaly,Celeb/VIP,Agree
Bạch Huyền Trang,Facebook,101.528,https://www.facebook.com/bach.huyentrang.5,Micro Influencer,Agree
Đỗ Mỹ Linh,Facebook,204.365,https://www.facebook.com/lih.ku.5,Celeb/VIP,Agree
Lý Hải- Minh Hà,Facebook,5946662,https://www.facebook.com/lyhai.minhha/,Celeb/VIP,Agree
Nguyễn Lê Việt Anh,Facebook,353725,https://www.facebook.com/nguyenle.vietanh.3,Celeb/VIP,Agree
Lê Duong Bảo Lâm,Facebook,426077,https://www.facebook.com/duong.lam.372019/posts/1131880010287419,Celeb/VIP,Agree
Bui Thuy Hang,Facebook,83340,https://www.facebook.com/hangbebu123,Micro Influencer,Agree
Erik,Facebook,414433,https://www.facebook.com/erikerik.official/,Celeb/VIP,Agree
Phương Linh Đàm,Facebook,136.093,https://www.facebook.com/damphuonglinh.76,Micro Influencer,Agree
Công Phượng,Facebook,"2,000,605",https://www.facebook.com/nguyen.congphuong.73/,Specialist/Professional Influencer,Agree
Phạm Trung Kiên (Lê Phương's husband),Facebook,38.812,https://www.facebook.com/trungkien.pham.0505,Micro Influencer,Agree
Phạm Thanh Truyền,Facebook,183000,https://www.facebook.com/ktsphamthanhtruyen/,Specialist/Professional Influencer,Agree
Hiếu Nguyễn,Facebook,112160,https://www.facebook.com/manly.hieu.7,Micro Influencer,Agree
Trương Nam Thành,Facebook,167612,https://www.facebook.com/namthanh.truong.3,Micro Influencer,Agree
Jun Vũ,Facebook,415090,https://www.facebook.com/junvu95,Celeb/VIP,Agree
Trần Minh Phương Thảo,Facebook,47439,https://www.facebook.com/mc.tranminhphuongthao,Micro Influencer,Agree
Quang Đại,Facebook,547478,https://www.facebook.com/tranquangdai.vn,Celeb/VIP,Agree
Hoàng Thùy,Facebook,275677,https://www.facebook.com/maika.hoang.90,Celeb/VIP,Agree
Đan Trường,Facebook,"2,432,156",https://www.facebook.com/dantruongofficial/,Celeb/VIP,Agree
Huyền Lizzie,Facebook,221.629,https://www.facebook.com/huyen.lizzie.xinh/posts/1764456660244359,Celeb/VIP,Agree
Quang Bảo,Facebook,234050,https://www.facebook.com/nguyenngocquangbao,Celeb/VIP,Agree
Loan Kieu Vu (Loveat1stshine),Facebook,97000,https://www.facebook.com/loveat1stshine/,Specialist/Professional Influencer,Agree
Choe nguyen,Facebook,147351,https://www.facebook.com/beautybychloeng/,Specialist/Professional Influencer,Agree
Primy Trương,Facebook,123.659,https://m.facebook.com/primmytruongblog/?fref=ts,Specialist/Professional Influencer,Agree
Thuỳ Minh,Facebook,73.089,https://www.facebook.com/thuyminhVJ/,Micro Influencer,Agree
Bùi Đại Nghĩa,Facebook,308.827,https://www.facebook.com/nghia.dai.96,Celeb/VIP,Agree
Midu,Facebook,675032,https://www.facebook.com/midu510,Celeb/VIP,Agree
Ngọc Mon,Instagram,370000,https://www.instagram.com/ngocmon88,Celeb/VIP,Agree
Huỳnh Lập,Facebook,779756,https://www.facebook.com/HuynhLap.Ngoc,Celeb/VIP,Agree
Lương Bích Hữu,Facebook,2637315,https://www.facebook.com/Page.LuongBichHuu/,Celeb/VIP,Agree
Trương Quỳnh Anh,Facebook,882.669,https://www.facebook.com/truongquynhanh,Celeb/VIP,Agree
Phuong Trinh Jolie,Facebook,166.571,https://www.facebook.com/phuongtrinhstar,Micro Influencer,Agree
Angela Phương Trinh,Facebook,"1,019,831",https://www.facebook.com/angelaphuongtrinh0802/,Celeb/VIP,Agree
Phan Thu Hoàng,Facebook,19.083,https://www.facebook.com/thu.thanthien.77,Micro Influencer,Agree
Huy Khánh,Facebook,296.891,https://www.facebook.com/huy.dynasty,Celeb/VIP,Agree
Minh Tú,Facebook,400.812,https://www.facebook.com/Stellaminhtu,Celeb/VIP,Agree
